Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, total [kg]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution aircraft system [kg]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, total [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution aircraft system [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, total [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution aircraft system [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, total [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution aircraft system [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, total [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution aircraft system [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, total [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution aircraft system [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, total [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, contribution aircraft system [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, total [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution aircraft system [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, total [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution aircraft system [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution fossil kerosene well-to-tank [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution fossil kerosene tank-to-wake [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF well-to-tank infrastructure [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF well-to-tank operations [kg]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - CO2 emissions, contribution AAF tank-to-wake [kg]"
2024,139046332628.47028,609295000.7981129,18534486441.036682,119531294789.15166,157158092.18355012,157794905.50239953,56303399.79786406,138928750079.26242,609295000.7981129,18534486441.036682,119531294789.15166,110626975.17962858,86743473.29849753,56303399.79786406,138928750079.26242,609295000.7981129,18534486441.036682,119531294789.15166,110626975.17962858,86743473.29849753,56303399.79786406,139046332628.47028,609295000.7981129,18534486441.036682,119531294789.15166,157158092.18355012,157794905.50239953,56303399.79786406,138928750079.26242,609295000.7981129,18534486441.036682,119531294789.15166,110626975.17962858,86743473.29849753,56303399.79786406,138928750079.26242,609295000.7981129,18534486441.036682,119531294789.15166,110626975.17962858,86743473.29849753,56303399.79786406,139046332628.47028,609295000.7981129,18534486441.036682,119531294789.15166,157158092.18355012,157794905.50239953,56303399.79786406,138928750079.26242,609295000.7981129,18534486441.036682,119531294789.15166,110626975.17962858,86743473.29849753,56303399.79786406,138928750079.26242,609295000.7981129,18534486441.036682,119531294789.15166,110626975.17962858,86743473.29849753,56303399.79786406
2025,148844396950.3492,1626712993.7180557,19570883639.36686,127446480601.37393,10157703.025855603,130130285.08320221,60031727.781310104,155276337714.1438,1626712993.7180557,19189060496.827934,124960031004.84889,4497091316.614,2602172790.882466,2401269111.252404,155276337714.1438,1626712993.7180557,19189060496.827934,124960031004.84889,4497091316.614,2602172790.882466,2401269111.252404,138987616958.5986,709864197.9429402,18383635581.483727,119715067479.40027,235838.8616632929,122423897.77933358,56389963.130665295,145032050245.97214,709864197.9429402,18024975357.53282,117379455857.74112,4217729480.1902514,2444426827.3383822,2255598525.2266116,145032050245.97214,709864197.9429402,18024975357.53282,117379455857.74112,4217729480.1902514,2444426827.3383822,2255598525.2266116,133265074319.32904,177066051.58690935,17693703318.476116,115222197336.49106,0.0,117833947.8433697,54273664.93158428,139078901374.60803,177066051.58690935,17348503503.85852,112974240510.01624,4055387042.3803654,2352757669.5026226,2170946597.263371,139078901374.60803,177066051.58690935,17348503503.85852,112974240510.01624,4055387042.3803654,2352757669.5026226,2170946597.263371
2026,153994891712.05713,1232163252.6552868,20192170820.450466,132388045982.06789,6271381.812143839,113880898.0183731,62359377.05296969,158163633460.6631,1232163252.6552868,19636608341.648674,128745553471.30563,2068593947.0354943,2988589333.0516615,3492125114.966302,158163633460.6631,1232163252.6552868,19636608341.648674,128745553471.30563,2068593947.0354943,2988589333.0516615,3492125114.966302,139787981282.92014,754738898.6989952,18377993376.763893,120493564255.9545,987996.747825971,103940092.54905777,56756662.20582381,143454526804.4126,754738898.6989952,17872345735.082047,117178333623.59958,1749860530.8839471,2720874932.6219153,3178373083.526133,143454526804.4126,754738898.6989952,17872345735.082047,117178333623.59958,1749860530.8839471,2720874932.6219153,3178373083.526133,128149093379.78491,171289136.2666967,16916755908.485437,110913099883.83044,0.0,95704521.13702002,52243930.06530451,131346436721.4315,171289136.2666967,16451312399.24747,107861463818.99269,1431165749.085873,2505545534.181699,2925660083.6570516,131346436721.4315,171289136.2666967,16451312399.24747,107861463818.99269,1431165749.085873,2505545534.181699,2925660083.6570516
2027,157985749530.47507,1058487408.1557434,20623007766.928288,136140163190.1505,4708525.661079339,95255884.73953405,64126754.83991469,161879598896.49933,1058487408.1557434,19890524749.693714,131304769700.1552,2109200222.115724,2899490467.9050903,4617126348.473858,161879598896.49933,1058487408.1557434,19890524749.693714,131304769700.1552,2109200222.115724,2899490467.9050903,4617126348.473858,139011455572.73483,597326513.3528388,18190551558.424126,120082612859.89743,0.0,84401551.26413338,56563089.796267755,142267895914.48047,597326513.3528388,17544463934.288002,115817547570.72647,1676426836.2909517,2559588594.490941,4072542465.331278,142267895914.48047,597326513.3528388,17544463934.288002,115817547570.72647,1676426836.2909517,2559588594.490941,4072542465.331278,123043443590.64842,165512220.9464867,16148762559.164574,106604002431.16985,0.0,74952184.16848989,50214195.19902472,125741660859.9202,165512220.9464867,15575194704.38684,102817667177.23633,1293195116.9635112,2274669586.0572176,3615422054.3297796,125741660859.9202,165512220.9464867,15575194704.38684,102817667177.23633,1293195116.9635112,2274669586.0572176,3615422054.3297796
2028,162854606663.15475,1084775298.4507828,21135521095.3533,140487004484.53876,5393075.34388253,75738441.09883356,66174268.36921697,166065639237.65384,1084775298.4507828,20215666000.15783,134372762668.55334,2235566272.959942,2333533381.0408773,5823335616.491093,166065639237.65384,1084775298.4507828,20215666000.15783,134372762668.55334,2235566272.959942,2333533381.0408773,5823335616.491093,139121667121.6655,639877862.8012685,18093436743.0174,120266385550.14601,0.0,65317312.571745336,56649653.129068986,141656065257.21405,639877862.8012685,17305978515.58242,115032180676.27773,1691446266.8338711,2001412460.360692,4985169475.358069,141656065257.21405,639877862.8012685,17305978515.58242,115032180676.27773,1691446266.8338711,2001412460.360692,4985169475.358069,117948124951.91954,159735305.62627274,15389723270.513515,102294904978.50923,0.0,55576936.9377793,48184460.33274494,119827685520.9256,159735305.62627274,14719935414.318079,97842850584.74721,1158012309.4054902,1706919397.5469952,4240232509.281555,119827685520.9256,159735305.62627274,14719935414.318079,97842850584.74721,1158012309.4054902,1706919397.5469952,4240232509.281555
2029,166154396692.78452,922716210.489376,21461291598.16647,143644397606.31573,3872474.319917684,54457293.07917887,67661510.41380468,168008717974.4058,922716210.489376,20355482176.149883,136243010436.00531,2222965496.8644104,1227746571.8611565,7036797083.0356865,168008717974.4058,922716210.489376,20355482176.149883,136243010436.00531,2222965496.8644104,1227746571.8611565,7036797083.0356865,138420237154.16257,555315659.206982,17907084890.67204,119855434154.08894,0.0,45946369.47511041,56456080.719512925,139744192085.50415,555315659.206982,16984408680.697441,113679791473.81323,1623563619.8197858,1029680257.1373587,5871432394.829345,139744192085.50415,555315659.206982,16984408680.697441,113679791473.81323,1623563619.8197858,1029680257.1373587,5871432394.829345,112863137463.59831,153958390.3060628,14639638042.532274,97985807525.84863,0.0,37578779.444888264,46154725.46646516,113650502953.645,153958390.3060628,13885319524.082636,92937014041.52527,1025617326.4118154,848502222.8068314,4800091448.512376,113650502953.645,153958390.3060628,13885319524.082636,92937014041.52527,1025617326.4118154,848502222.8068314,4800091448.512376
2030,170318221722.64722,946680749.4767907,21868738482.926834,147396514814.39835,4548572.977300982,32310214.66715307,69428888.20074968,170387596978.20898,946680749.4767907,20566897622.7626,138622034943.00595,2343947538.500214,-423430459.6265278,8331466584.089961,170387596978.20898,946680749.4767907,20566897622.7626,138622034943.00595,2343947538.500214,-423430459.6265278,8331466584.089961,137041064664.51685,475400158.2279458,17633349705.885002,118849758671.72621,0.0,26573756.110073105,55982372.56759957,136750045781.49844,475400158.2279458,16583640543.803806,111774660481.66345,1532468181.6949687,-334008292.0036669,6717884708.111948,136750045781.49844,475400158.2279458,16583640543.803806,111774660481.66345,1532468181.6949687,-334008292.0036669,6717884708.111948,107788481125.68472,148181474.98585066,13898506875.220844,93676710073.18802,0.0,20957711.689816795,44124990.60018538,107255523089.01357,148181474.98585066,13071132028.721954,88100157547.57053,896010167.982485,-254957002.26949024,5294998872.022246,107255523089.01357,148181474.98585066,13071132028.721954,88100157547.57053,896010167.982485,-254957002.26949024,5294998872.022246
2031,173746338526.27933,866549161.8579303,22228038327.80703,150553907936.1753,3801779.1432989896,23125191.050459117,70916130.24533737,176631949325.10257,866549161.8579303,20282112010.965492,137373850963.2735,7461028297.675572,-1832830031.8493156,12481238923.179377,176631949325.10257,866549161.8579303,20282112010.965492,137373850963.2735,7461028297.675572,-1832830031.8493156,12481238923.179377,136521407038.07387,521553991.5551105,17486509541.415524,118438807275.66913,0.0,18747429.276053816,55788800.15804351,138509058792.9882,521553991.5551105,15955674539.040478,108070227349.08478,5575301471.0433035,-1432527385.5511417,9818828827.815657,138509058792.9882,521553991.5551105,15955674539.040478,108070227349.08478,5575301471.0433035,-1432527385.5511417,9818828827.815657,102762925578.42732,144672903.9970331,13194388281.410954,89367612620.52744,0.0,14156516.757982828,42095255.73390561,103867654886.29466,144672903.9970331,12039301763.528557,81544034727.28467,3800417872.410056,-1069537390.0930289,7408765009.167387,103867654886.29466,144672903.9970331,12039301763.528557,81544034727.28467,3800417872.410056,-1069537390.0930289,7408765009.167387
2032,175990197507.12436,751323630.2026345,22436319574.192368,152714543489.30396,2583920.528086431,13493028.111597687,71933864.78573427,175853305348.5252,751323630.2026345,19843628317.744923,135067190039.56448,7511979958.289974,-4009473227.567138,16688656630.29035,175853305348.5252,751323630.2026345,19843628317.744923,135067190039.56448,7511979958.289974,-4009473227.567138,16688656630.29035,136176862082.61797,526521658.8937378,17367875731.951168,118215788690.88463,0.0,10992250.245348558,55683750.643072344,135802177348.28761,526521658.8937378,15360882588.339,104555034720.10207,5534426819.925821,-3093318588.1657944,12918630149.192783,135802177348.28761,526521658.8937378,15360882588.339,104555034720.10207,5534426819.925821,-3093318588.1657944,12918630149.192783,97744181167.18652,141164333.00821316,12496517916.423672,85058515167.86682,0.0,7918229.020204566,40065520.86762583,96875473966.32753,141164333.00821316,11052448062.149601,75229342079.43399,3368067814.9803905,-2210749164.533865,9295200841.289192,96875473966.32753,141164333.00821316,11052448062.149601,75229342079.43399,3368067814.9803905,-2210749164.533865,9295200841.289192
2033,178414588277.4025,738871008.3325903,22651651425.8359,154944837885.21338,2648981.4380511725,3594565.517197445,72984411.06536195,174548797931.79565,738871008.3325903,19399513377.204132,132699130795.14021,7678127432.789345,-6986355068.494881,21019510386.824238,174548797931.79565,738871008.3325903,19399513377.204132,132699130795.14021,7678127432.789345,-6986355068.494881,21019510386.824238,135821285832.87721,513823269.14918596,17250366227.04973,117998248704.38318,0.0,3266350.556555465,55581281.73855977,132519179099.3446,513823269.14918596,14773700340.524828,101057029405.65482,5476065469.256486,-5308848525.945927,16007409140.705214,132519179099.3446,513823269.14918596,14773700340.524828,101057029405.65482,5476065469.256486,-5308848525.945927,16007409140.705214,92732247891.96245,137655762.01939538,11804895780.258995,80749417715.20622,0.0,2242848.476482071,38035786.001346044,89685315541.43695,137655762.01939538,10110045810.807102,69156079604.01852,2941411642.5169773,-3614183646.312725,10954306368.38766,89685315541.43695,137655762.01939538,10110045810.807102,69156079604.01852,2941411642.5169773,-3614183646.312725,10954306368.38766
